Word,Unit,Qty,Srv,Ing
elizabeth,O,O,O,O
man,O,O,O,O
##ker,O,O,O,O
do,O,O,O,O
##bb,O,O,O,O
##in,O,O,O,O
wil,O,O,O,O
##met,O,O,O,O
##te,O,O,O,O
iii,O,O,O,O
.,O,O,O,O
northwestern,O,O,O,O
university,O,O,O,O
.,O,O,O,O
c,O,O,O,O
o,O,O,O,O
l,O,O,O,O
l,O,O,O,O
e,O,O,O,O
g,O,O,O,O
e,O,O,O,O
w,O,O,O,O
o,O,O,O,O
m,O,O,O,O
a,O,O,O,O
n,O,O,O,O
s,O,O,O,O
c,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
b,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
30,O,B-Qty,O,O
baked,O,O,O,O
as,O,O,O,O
##para,O,O,O,O
##gus,O,O,O,O
1,O,B-Qty,O,O
bunch,B-Unit,O,O,O
fresh,O,O,O,B-Ing
as,O,O,O,I-Ing
##para,O,O,O,I-Ing
##gus,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
3,O,I-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
pepper,O,O,O,B-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
soft,O,O,O,B-Ing
bread,O,O,O,I-Ing
cr,O,O,O,I-Ing
##umb,O,O,O,I-Ing
##s,O,O,O,I-Ing
2,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
butter,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
3,O,I-Qty,O,O
cup,B-Unit,O,O,O
dried,O,O,O,B-Ing
cr,O,O,O,I-Ing
##umb,O,O,O,I-Ing
##s,O,O,O,I-Ing
2,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
flour,O,O,O,B-Ing
2,O,B-Qty,O,O
cups,B-Unit,O,O,O
milk,O,O,O,B-Ing
4,O,B-Qty,O,O
hard,O,O,O,B-Ing
cooked,O,O,O,I-Ing
eggs,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
gr,O,O,O,B-Ing
##ated,O,O,O,I-Ing
cheese,O,O,O,I-Ing
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
salt,O,O,O,B-Ing
boil,O,O,O,O
or,O,O,O,O
steam,O,O,O,O
as,O,O,O,O
##para,O,O,O,O
##gus,O,O,O,O
until,O,O,O,O
tender,O,O,O,O
;,O,O,O,O
drain,O,O,O,O
and,O,O,O,O
cut,O,O,O,O
in,O,O,O,O
1,O,O,O,O
-,O,O,O,O
inch,O,O,O,O
pieces,O,O,O,O
.,O,O,O,O
make,O,O,O,O
a,O,O,O,O
sauce,O,O,O,O
of,O,O,O,O
butter,O,O,O,O
flour,O,O,O,O
milk,O,O,O,O
season,O,O,O,O
##ings,O,O,O,O
and,O,O,O,O
cr,O,O,O,O
##umb,O,O,O,O
##s,O,O,O,O
.,O,O,O,O
put,O,O,O,O
a,O,O,O,O
layer,O,O,O,O
of,O,O,O,O
as,O,O,O,O
##para,O,O,O,O
##gus,O,O,O,O
in,O,O,O,O
bottom,O,O,O,O
of,O,O,O,O
cass,O,O,O,O
##ero,O,O,O,O
##le,O,O,O,O
;,O,O,O,O
add,O,O,O,O
sauce,O,O,O,O
and,O,O,O,O
hard,O,O,O,O
cooked,O,O,O,O
eggs,O,O,O,O
chopped,O,O,O,O
.,O,O,O,O
repeat,O,O,O,O
until,O,O,O,O
dish,O,O,O,O
is,O,O,O,O
filled,O,O,O,O
.,O,O,O,O
sp,O,O,O,O
##rin,O,O,O,O
##kle,O,O,O,O
with,O,O,O,O
dried,O,O,O,O
butter,O,O,O,O
##ed,O,O,O,O
cr,O,O,O,O
##umb,O,O,O,O
##s,O,O,O,O
mixed,O,O,O,O
with,O,O,O,O
the,O,O,O,O
cheese,O,O,O,O
.,O,O,O,O
ba,O,O,O,O
##ke,O,O,O,O
about,O,O,O,O
20,O,O,O,O
minutes,O,O,O,O
in,O,O,O,O
moderate,O,O,O,O
oven,O,O,O,O
.,O,O,O,O
luc,O,O,O,O
##ile,O,O,O,O
robertson,O,O,O,O
evans,O,O,O,O
##ton,O,O,O,O
ill,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
wisconsin,O,O,O,O
.,O,O,O,O
creole,O,O,O,O
spaghetti,O,O,O,O
1,O,B-Qty,O,O
large,B-Unit,O,O,O
p,I-Unit,O,O,O
##k,I-Unit,O,O,O
##g,I-Unit,O,O,O
.,O,O,O,O
red,O,O,O,B-Ing
cross,O,O,O,I-Ing
spaghetti,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
melted,O,O,O,B-Ing
butter,O,O,O,I-Ing
2,O,B-Qty,O,O
